,Control,Datos
Ciclo: 0,0, 
Ciclo: 1,0, 
Ciclo: 2,0, 
Ciclo: 3,0, 
Ciclo: 4,0, 	
Ciclo: 5,0, 	
Ciclo: 6,0,
 	
Ciclo: 7,0,
 

Ciclo: 8,0,
 

Ciclo: 9,0,
 

Ciclo: 10,0,
 

,Control,Datos
Ciclo: 0,0, 
Ciclo: 1,0,- -
Ciclo: 2,0,- -
Ciclo: 3,0,- -
Ciclo: 4,0,- $t1
Ciclo: 5,0,- -
Ciclo: 6,0,$t2 -
Ciclo: 7,0,$t2 $t2
Ciclo: 8,0,- -
Ciclo: 9,0,- -
Ciclo: 10,0,- -
,Control,Datos
Ciclo: 0,0, 
Ciclo: 1,0,- -
Ciclo: 2,0,- -
Ciclo: 3,0,- -
Ciclo: 4,0,- $t1
Ciclo: 5,0,- -
Ciclo: 6,0,$t2 -
Ciclo: 7,0,- $t2
Ciclo: 8,0,- -
Ciclo: 9,0,- -
Ciclo: 10,0,- -
